board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,1,60,1,0,228,-588.148,12.5903,1,1,0
0,1,61,1,0,196,-590.539,11.7375,1,1,0
0,1,62,1,0,164,-521.189,11.3277,1,1,0
0,1,63,1,0,132,-501.027,13.5388,1,1,0
0,1,64,1,0,251,-638.549,15.3225,1,1,0
0,1,65,1,0,219,-581.618,13.0593,1,1,0
0,1,66,1,0,187,-540.51,12.8286,1,1,0
0,1,67,1,0,155,-537.024,12.2002,1,1,0
0,1,68,1,0,243,-631.083,14.7399,1,1,0
0,1,69,1,0,211,-578.165,12.59,1,1,0
0,1,70,1,0,179,-539.148,12.3885,1,1,0
0,1,71,1,0,147,-522.48,12.2718,1,1,0
0,1,72,1,0,235,-614.653,15.5016,1,1,0
0,1,73,1,0,203,-571.965,12.5301,1,1,0
0,1,74,1,0,171,-532.073,12.4647,1,1,0
0,1,75,1,0,139,-522.55,12.6959,1,1,0
0,1,76,1,0,227,-618.738,14.6093,1,1,0
0,1,77,1,0,195,-574.884,13.7027,1,1,0
0,1,78,1,0,163,-531.431,11.8232,1,1,0
0,1,79,1,0,131,-504.636,13.8164,1,1,0
0,1,80,1,0,250,-621.203,15.1957,1,1,0
0,1,81,1,0,218,-596.437,12.6005,1,1,0
0,1,82,1,0,186,-531.452,11.7476,1,1,0
0,1,83,1,0,154,-525.043,11.862,1,1,0
0,1,84,1,0,242,-623.387,14.3551,1,1,0
0,1,85,1,0,210,-583.366,12.3798,1,1,0
0,1,86,1,0,178,-527.045,11.614,1,1,0
0,1,87,1,0,146,-515.786,11.7205,1,1,0
0,1,88,1,0,234,-601.951,13.2813,1,1,0
0,1,89,1,0,202,-582.819,12.217,1,1,0
0,1,90,1,0,170,-540.324,11.6792,1,1,0
0,1,91,1,0,138,-503.626,12.3131,1,1,0
0,1,92,1,0,226,-610.721,13.0343,1,1,0
0,1,93,1,0,194,-569.83,11.978,1,1,0
0,1,94,1,0,162,-522.697,11.7729,1,1,0
0,1,95,1,0,130,-489.841,13.4745,1,1,0
0,1,96,1,0,249,-632.01,15.5788,1,1,0
0,1,97,1,0,217,-601.016,13.1082,1,1,0
0,1,98,1,0,185,-555.908,12.8545,1,1,0
0,1,99,1,0,153,-534.992,13.2305,1,1,0
0,1,100,1,0,241,-618.41,15.0014,1,1,0
0,1,101,1,0,209,-585.568,12.5184,1,1,0
0,1,102,1,0,177,-557.246,12.3406,1,1,0
0,1,103,1,0,145,-516.384,12.5925,1,1,0
0,1,104,1,0,233,-628.696,16.2171,1,1,0
0,1,105,1,0,201,-567.871,13.9769,1,1,0
0,1,106,1,0,169,-535.329,12.5199,1,1,0
0,1,107,1,0,137,-511.047,13.1907,1,1,0
0,1,108,1,0,225,-604.907,13.8974,1,1,0
0,1,109,1,0,193,-559.088,13.7541,1,1,0
0,1,110,1,0,161,-536.059,11.9098,1,1,0
0,1,111,1,0,129,-497.408,14.019,1,1,0
0,1,112,1,0,248,-604.417,14.3713,1,1,0
0,1,113,1,0,216,-598.653,12.5236,1,1,0
0,1,114,1,0,184,-538.753,11.7736,1,1,0
0,1,115,1,0,152,-521.43,12.1686,1,1,0
0,1,116,1,0,240,-623.789,14.0373,1,1,0
0,1,117,1,0,208,-589.205,11.9305,1,1,0
0,1,118,1,0,176,-518.731,11.4753,1,1,0
0,1,119,1,0,144,-525.81,11.7237,1,1,0
0,1,120,1,0,232,-594.996,13.3389,1,1,0
0,1,121,1,0,200,-574.549,11.9172,1,1,0
0,1,122,1,0,168,-538.524,11.4371,1,1,0
0,1,123,1,0,136,-508.465,12.4629,1,1,0
0,1,124,1,0,224,-602.045,12.491,1,1,0
0,1,125,1,0,192,-566.149,11.6559,1,1,0
0,1,126,1,0,160,-521.76,11.4701,1,1,0
0,1,127,1,0,128,-461.56,14.336,1,1,0
0,2,0,1,1,127,-737.227,15.805,1,1,0
0,2,1,1,1,95,-669.587,13.221,1,1,0
0,2,2,1,1,63,-636.021,13.1634,1,1,0
0,2,3,1,1,31,-589.767,11.7943,1,1,0
0,2,4,1,1,119,-721.156,13.8559,1,1,0
0,2,5,1,1,87,-667.38,12.7497,1,1,0
0,2,6,1,1,55,-630.872,13.6792,1,1,0
0,2,7,1,1,23,-594.094,12.1182,1,1,0
0,2,8,1,1,111,-707.941,13.4936,1,1,0
0,2,9,1,1,79,-649.626,12.3988,1,1,0
0,2,10,1,1,47,-612.491,12.3737,1,1,0
0,2,11,1,1,15,-562.651,12.4824,1,1,0
0,2,12,1,1,103,-689.36,14.9029,1,1,0
0,2,13,1,1,71,-646.161,12.0753,1,1,0
0,2,14,1,1,39,-589.733,12.0589,1,1,0
0,2,15,1,1,7,-559.24,12.2157,1,1,0
0,2,16,1,1,126,-728.407,14.7079,1,1,0
0,2,17,1,1,94,-662.433,13.0965,1,1,0
0,2,18,1,1,62,-619.098,11.593,1,1,0
0,2,19,1,1,30,-573.109,11.1512,1,1,0
0,2,20,1,1,118,-717.575,13.6142,1,1,0
0,2,21,1,1,86,-663.413,12.8794,1,1,0
0,2,22,1,1,54,-622.934,10.8208,1,1,0
0,2,23,1,1,22,-575.502,11.0595,1,1,0
